RE_100_A_0.0,,RE_100_A_0.5,,RE_100_A_1.0,,RE_100_A_1.5,
X,Y,X,Y,X,Y,X,Y
1.3204014218467182,-0.24494109700061517,1.3166486205280576,-1.0248767365718785,1.1642465946438558,-2.184214611010347,0.8619796000282676,-3.5799418870030264
1.322854856384951,-0.2796388063090607,1.3170550037319537,-1.059547959079325,1.167930151897048,-2.1972620091823623,0.8656635356643312,-3.5886560445316364
1.3257184579557941,-0.30567533169089445,1.3182786939380988,-1.1115627388807954,1.172841561567971,-2.2146585400783834,0.8697568815672622,-3.597375499420445
1.3289922265592475,-0.323050673146116,1.3170478144573967,-1.141879531304037,1.175705919904557,-2.2320285841734053,0.8738513626188071,-3.593095232379037
1.3326761621953112,-0.3317648306747256,1.3166346203618153,-1.185206640377897,1.1789808236566246,-2.2364042036984086,0.8775352982548708,-3.601809389907647
1.3359522010959928,-0.323140728269512,1.3154026057324992,-1.2285231547313562,1.1822542138772065,-2.2581127857970364,0.8808094452411955,-3.614851490719463
1.3355450611263542,-0.297135987048877,1.3137611808363157,-1.271834371724616,1.185118193830921,-2.2798160705354644,0.8832659068423997,-3.614883274880661
1.334320614154466,-0.2537876885342185,1.3117103456732646,-1.3151402913576762,1.1888009943183704,-2.3015299499942916,0.888177694896194,-3.627946565133276
1.3318679363819759,-0.21042349793896098,1.3092497218604746,-1.362774154273942,1.1908461537383501,-2.32322264001232,0.891862008915129,-3.6323274820184803
1.3302333223774776,-0.17573638335091468,1.3067898548134278,-1.4017415359033967,1.1937093769263218,-2.35359240603756,0.8955459445511925,-3.6410416395470895
1.3285975732243651,-0.1540489906930862,1.3035104104669033,-1.4493648040992633,1.1957537795805588,-2.3839515773424,0.8984110596535214,-3.6497452023553
1.326962959219867,-0.11936187610504012,1.2998226910021258,-1.4839830530047133,1.1977970470861818,-2.4273104705774573,0.9029138158233196,-3.6584699546043087
1.3245095246816339,-0.08466416679659461,1.2949071191196173,-1.514252169186157,1.1982030519072062,-2.4663149337283103,0.9061883411925158,-3.6671788147727193
1.322874153911393,-0.05864353349535989,1.290401714269719,-1.535860101440989,1.1973815826933718,-2.4966370235117523,0.9094624881788405,-3.6802209155845347
1.320421476138903,-0.015279342900102577,1.2863068548353025,-1.5444736091258036,1.1977883442801394,-2.5269750053757933,0.9131456670491613,-3.697601554399956
1.3191962724012722,0.019402474327744113,1.2813931748671512,-1.553076522090218,1.1957386442657023,-2.5572812030786354,0.9151915832348839,-3.710627763131172
1.3183804789305087,0.05407899419539075,1.2777084824653449,-1.55302884584842,1.1949167966689962,-2.5919365335054834,0.9176465313046025,-3.7279925098659943
1.317563550311131,0.07575579213281958,1.2736147581795423,-1.5486426316030166,1.1912283204384757,-2.6352212636977446,0.9217391204417906,-3.7453784460416157
1.317567334139845,0.11908819856687858,1.2695210338937402,-1.5442564173576132,1.1871323258554451,-2.6568344933127763,0.9241944468943807,-3.7584099521330323
1.3171613293188202,0.1580926617177314,1.2658367198748053,-1.5398755004724096,1.1842645620730161,-2.678463615008407,0.9258309528132359,-3.7714308635040483
1.3175733882657876,0.18842004886137298,1.262152027472999,-1.539827824230612,1.182215240441451,-2.704436572067844,0.9282843873514689,-3.8061285728124945
1.3192136780133572,0.21873154392441552,1.2592876691364128,-1.5224577801355896,1.1793486118076366,-2.7130659718332573,0.9299208932703241,-3.8191494841835123
1.3200351472271916,0.24905363370785705,1.256422554034084,-1.5137542173273792,1.176480848025208,-2.734695093528888,0.9311472321565691,-3.84083157948114
1.3229036677753632,0.2793492366903001,1.2531484070477592,-1.500712116515564,1.1719758215581813,-2.751969785140315,0.9323724358942,-3.8755133967089863
1.3257714315577918,0.30097835838593123,1.2494652281774385,-1.4833314777001423,1.167471173474026,-2.7649112361083352,0.9319607553301043,-3.901507543209223
1.328638816957349,0.31827423943815636,1.2453726390402504,-1.4659455415245208,1.1641943778076012,-2.7822018198003597,0.9299102985499246,-3.940480222198876
,,1.2420992488196685,-1.4442369594258935,1.1609183389069193,-2.790825922205574,0.9278602201526164,-3.9751196605451247
,,1.2384160699493478,-1.4268563206104723,1.156004658938768,-2.799428835169989,0.924991699604445,-4.005415263527567
,,1.2347332694618984,-1.4051424411516447,1.1510902222048738,-2.816698229421216,0.9229431347386224,-4.022721739300192
